Method,Model,CIFAR10,DTD,STL10,SVHN,FGVCAircraft,cub
NoKD,Swin,97.67000079154968,66.70212745666504,99.59999918937683,56.70328736305237,18.33183318376541,53.641700744628906
NoKD,ViT,96.8999981880188,57.39361643791199,99.40000176429749,50.1421332359314,14.851485192775726,54.79806661605835
NoKD,DINOv2,98.5700011253357,73.1382966041565,99.44999814033508,57.302552461624146,30.603060126304626,65.61960577964783
NoKD,BEiT,97.89000153541565,65.42553305625916,99.59999918937683,61.99677586555481,19.141913950443268,14.480496942996979
NoKD,PVTv2,88.06999921798706,33.45744609832764,94.73749995231628,0.0,7.980798184871674,16.965827345848083
NoKD,resnet18,76.75999999046326,0.0,87.1874988079071,54.65964674949646,0.0,9.820503741502762
NLL,resnet18,95.14999985694885,29.574468731880188,94.77499723434448,65.43484926223755,13.141314685344696,9.613393247127533
NLL,PVTv2,94.78999972343445,40.3723418712616,96.41249775886536,72.18039631843567,15.931592881679535,25.163963437080383
